date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEP7
",TRUE,FALSE,TRUE,546 988,https://www.immotop.lu/properties/new/apartment/2491819,290,,1,-1,0,40.83.,0,0,0,0,2,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Studio à vendre à LUXEMBOURG-GASPERICH
1HEP4
",TRUE,FALSE,TRUE,545 730,https://www.immotop.lu/properties/new/apartment/flat/2491816,290,,1,-1,0,33.5. ,0,0,0,0,3,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEOV
",TRUE,FALSE,TRUE,541 958,https://www.immotop.lu/properties/new/apartment/2491807,290,,1,-1,0,40.83.,0,0,0,0,1,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Studio à vendre à LUXEMBOURG-GASPERICH
1HEOP
",TRUE,FALSE,TRUE,545 730,https://www.immotop.lu/properties/new/apartment/flat/2491801,290,,NA,-1,0,33.5. ,0,0,0,0,1,0,0.4000000000000001,-1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEO1
",TRUE,FALSE,TRUE,669 142,https://www.immotop.lu/properties/new/apartment/2491777,291,,1,-1,0,47.29.,0,0,0,0,2,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENY
",TRUE,FALSE,TRUE,672 031,https://www.immotop.lu/properties/new/apartment/2491774,291,,1,-1,0,46.14.,0,0,0,0,4,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENV
",TRUE,FALSE,TRUE,667 390,https://www.immotop.lu/properties/new/apartment/2491771,291,,1,-1,0,46.14.,0,0,0,0,3,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENS
",TRUE,FALSE,TRUE,660 739,https://www.immotop.lu/properties/new/apartment/2491768,291,,1,-1,0,45.32.,0,0,0,0,4,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENP
",TRUE,FALSE,TRUE,653 308,https://www.immotop.lu/properties/new/apartment/2491765,291,,1,-1,0,45.32.,0,0,0,0,3,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENM
",TRUE,FALSE,TRUE,664 574,https://www.immotop.lu/properties/new/apartment/2491762,291,,1,-1,0,46.14.,0,0,0,0,2,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENJ
",TRUE,FALSE,TRUE,654 751,https://www.immotop.lu/properties/new/apartment/2491759,291,,1,-1,0,45.32.,0,0,0,0,2,0,0.4000000000000001,1
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HENG
",TRUE,FALSE,TRUE,649 667,https://www.immotop.lu/properties/new/apartment/2491756,291,,1,-1,0,45.88.,0,0,0,0,2,0,0.4000000000000001,1
